Confirmado,Mortes,Mortalidade,Estado,Atualizado,Created
4501,97,"2,16%",AC,25/05/2020,26/05/2020 - 18:05:54:73
6682,337,"5,04%",AL,25/05/2020,26/05/2020 - 18:05:54:717
6584,168,"2,55%",AP,25/05/2020,26/05/2020 - 18:05:55:226
29867,1758,"5,89%",AM,24/05/2020,26/05/2020 - 18:05:55:607
14204,477,"3,36%",BA,25/05/2020,26/05/2020 - 18:05:56:90
36185,2493,"6,89%",CE,25/05/2020,26/05/2020 - 18:05:56:493
6930,114,"1,65%",DF,25/05/2020,26/05/2020 - 18:05:56:887
10007,447,"4,47%",ES,24/05/2020,26/05/2020 - 18:05:57:468
2515,96,"3,82%",GO,25/05/2020,26/05/2020 - 18:05:57:862
24278,817,"3,37%",MA,25/05/2020,26/05/2020 - 18:05:58:489
1594,42,"2,63%",MT,25/05/2020,26/05/2020 - 18:05:58:871
1023,17,"1,66%",MS,24/05/2020,26/05/2020 - 18:05:59:496
6962,230,"3,30%",MG,25/05/2020,26/05/2020 - 18:05:59:921
27366,2431,"8,88%",PA,25/05/2020,26/05/2020 - 18:05:00:303
8016,279,"3,48%",PB,25/05/2020,26/05/2020 - 18:05:00:682
28366,2248,"7,92%",PE,25/05/2020,26/05/2020 - 18:05:01:67
3720,119,"3,20%",PI,25/05/2020,26/05/2020 - 18:05:01:467
3384,160,"4,73%",PR,25/05/2020,26/05/2020 - 18:05:01:921
39298,4105,"10,45%",RJ,25/05/2020,26/05/2020 - 18:05:02:411
4774,212,"4,44%",RN,24/05/2020,26/05/2020 - 18:05:02:806
6559,197,"3,00%",RS,25/05/2020,26/05/2020 - 18:05:03:256
3201,121,"3,78%",RO,24/05/2020,26/05/2020 - 18:05:03:982
2564,86,"3,35%",RR,25/05/2020,26/05/2020 - 18:05:04:466
6875,109,"1,59%",SC,25/05/2020,26/05/2020 - 18:05:04:921
83625,6220,"7,44%",SP,25/05/2020,26/05/2020 - 18:05:05:444
5448,103,"1,89%",SE,25/05/2020,26/05/2020 - 18:05:06:247
2696,58,"2,15%",TO,25/05/2020,26/05/2020 - 18:05:06:672
4501,97,"2,16%",AC,25/05/2020,27/05/2020 - 11:05:15:112
7058,352,"4,99%",AL,26/05/2020,27/05/2020 - 11:05:15:583
6967,173,"2,48%",AP,26/05/2020,27/05/2020 - 11:05:16:106
29867,1758,"5,89%",AM,24/05/2020,27/05/2020 - 11:05:16:579
14204,477,"3,36%",BA,25/05/2020,27/05/2020 - 11:05:17:145
36185,2493,"6,89%",CE,25/05/2020,27/05/2020 - 11:05:17:953
7210,124,"1,72%",DF,26/05/2020,27/05/2020 - 11:05:18:368
10365,465,"4,49%",ES,25/05/2020,27/05/2020 - 11:05:18:972
2706,104,"3,84%",GO,26/05/2020,27/05/2020 - 11:05:19:519
24278,817,"3,37%",MA,25/05/2020,27/05/2020 - 11:05:19:958
1744,43,"2,47%",MT,26/05/2020,27/05/2020 - 11:05:20:397
1100,17,"1,55%",MS,25/05/2020,27/05/2020 - 11:05:20:837
6962,230,"3,30%",MG,25/05/2020,27/05/2020 - 11:05:21:305
27366,2431,"8,88%",PA,25/05/2020,27/05/2020 - 11:05:21:732
8016,279,"3,48%",PB,25/05/2020,27/05/2020 - 11:05:22:273
28854,2328,"8,07%",PE,26/05/2020,27/05/2020 - 11:05:22:702
3966,134,"3,38%",PI,26/05/2020,27/05/2020 - 11:05:23:148
3384,160,"4,73%",PR,25/05/2020,27/05/2020 - 11:05:23:601
39298,4105,"10,45%",RJ,25/05/2020,27/05/2020 - 11:05:24:41
5472,220,"4,02%",RN,25/05/2020,27/05/2020 - 11:05:24:488
6785,203,"2,99%",RS,26/05/2020,27/05/2020 - 11:05:24:985
3268,121,"3,70%",RO,25/05/2020,27/05/2020 - 11:05:25:465
2564,86,"3,35%",RR,25/05/2020,27/05/2020 - 11:05:26:126
7016,121,"1,72%",SC,26/05/2020,27/05/2020 - 11:05:26:584
86017,6423,"7,47%",SP,26/05/2020,27/05/2020 - 11:05:27:152
5448,103,"1,89%",SE,25/05/2020,27/05/2020 - 11:05:27:563
2858,64,"2,24%",TO,26/05/2020,27/05/2020 - 11:05:27:982
4501,97,"2,16%",AC,25/05/2020,28/05/2020 - 11:05:15:125
7580,368,"4,85%",AL,27/05/2020,28/05/2020 - 11:05:15:677
7619,183,"2,40%",AP,27/05/2020,28/05/2020 - 11:05:16:118
29867,1758,"5,89%",AM,24/05/2020,28/05/2020 - 11:05:16:590
14566,495,"3,40%",BA,26/05/2020,28/05/2020 - 11:05:17:34
37021,2603,"7,03%",CE,26/05/2020,28/05/2020 - 11:05:17:497
7761,133,"1,71%",DF,27/05/2020,28/05/2020 - 11:05:17:883
10365,465,"4,49%",ES,25/05/2020,28/05/2020 - 11:05:18:291
2906,108,"3,72%",GO,27/05/2020,28/05/2020 - 11:05:18:995
26145,853,"3,26%",MA,26/05/2020,28/05/2020 - 11:05:19:441
1909,47,"2,46%",MT,27/05/2020,28/05/2020 - 11:05:19:919
1186,18,"1,52%",MS,26/05/2020,28/05/2020 - 11:05:20:327
8011,240,"3,00%",MG,27/05/2020,28/05/2020 - 11:05:20:964
31671,2605,"8,23%",PA,27/05/2020,28/05/2020 - 11:05:21:605
8919,286,"3,21%",PB,26/05/2020,28/05/2020 - 11:05:22:184
29919,2468,"8,25%",PE,27/05/2020,28/05/2020 - 11:05:22:758
4243,138,"3,25%",PI,27/05/2020,28/05/2020 - 11:05:23:190
3768,167,"4,43%",PR,27/05/2020,28/05/2020 - 11:05:23:642
42398,4605,"10,86%",RJ,27/05/2020,28/05/2020 - 11:05:24:346
5630,242,"4,30%",RN,26/05/2020,28/05/2020 - 11:05:24:810
7048,209,"2,97%",RS,27/05/2020,28/05/2020 - 11:05:25:302
3493,133,"3,81%",RO,26/05/2020,28/05/2020 - 11:05:25:794
2564,86,"3,35%",RR,25/05/2020,28/05/2020 - 11:05:26:272
7372,126,"1,71%",SC,27/05/2020,28/05/2020 - 11:05:26:812
89483,6712,"7,50%",SP,27/05/2020,28/05/2020 - 11:05:27:327
5448,103,"1,89%",SE,25/05/2020,28/05/2020 - 11:05:27:760
2858,64,"2,24%",TO,26/05/2020,28/05/2020 - 11:05:28:153
4501,97,"2,16%",AC,25/05/2020,29/05/2020 - 11:05:16:655
8056,385,"4,78%",AL,28/05/2020,29/05/2020 - 11:05:20:898
8152,198,"2,43%",AP,28/05/2020,29/05/2020 - 11:05:21:324
33508,1891,"5,64%",AM,27/05/2020,29/05/2020 - 11:05:21:766
15070,531,"3,52%",BA,27/05/2020,29/05/2020 - 11:05:22:312
37821,2733,"7,23%",CE,28/05/2020,29/05/2020 - 11:05:22:737
8300,142,"1,71%",DF,28/05/2020,29/05/2020 - 11:05:23:166
11484,511,"4,45%",ES,27/05/2020,29/05/2020 - 11:05:23:606
3101,115,"3,71%",GO,28/05/2020,29/05/2020 - 11:05:24:173
27979,887,"3,17%",MA,27/05/2020,29/05/2020 - 11:05:24:607
1909,47,"2,46%",MT,27/05/2020,29/05/2020 - 11:05:25:31
1262,18,"1,43%",MS,27/05/2020,29/05/2020 - 11:05:25:440
8686,255,"2,94%",MG,28/05/2020,29/05/2020 - 11:05:26:30
31671,2605,"8,23%",PA,27/05/2020,29/05/2020 - 11:05:26:513
10209,298,"2,92%",PB,27/05/2020,29/05/2020 - 11:05:26:915
30713,2566,"8,35%",PE,28/05/2020,29/05/2020 - 11:05:27:325
4503,146,"3,24%",PI,28/05/2020,29/05/2020 - 11:05:27:886
4041,174,"4,31%",PR,28/05/2020,29/05/2020 - 11:05:28:330
42398,4605,"10,86%",RJ,27/05/2020,29/05/2020 - 11:05:28:840
5630,242,"4,30%",RN,26/05/2020,29/05/2020 - 11:05:29:256
8234,213,"2,59%",RS,28/05/2020,29/05/2020 - 11:05:29:853
3862,137,"3,55%",RO,27/05/2020,29/05/2020 - 11:05:30:268
2564,86,"3,35%",RR,25/05/2020,29/05/2020 - 11:05:30:658
8000,131,"1,64%",SC,28/05/2020,29/05/2020 - 11:05:31:78
95865,6980,"7,28%",SP,28/05/2020,29/05/2020 - 11:05:31:583
5912,127,"2,15%",SE,27/05/2020,29/05/2020 - 11:05:32:19
2858,64,"2,24%",TO,26/05/2020,29/05/2020 - 11:05:32:421
4501,97,"2,16%",AC,25/05/2020,30/05/2020 - 11:05:19:480
8619,406,"4,71%",AL,29/05/2020,30/05/2020 - 11:05:49:972
8469,207,"2,44%",AP,29/05/2020,30/05/2020 - 11:05:04:981
36146,1964,"5,43%",AM,28/05/2020,30/05/2020 - 11:05:05:447
16917,609,"3,60%",BA,29/05/2020,30/05/2020 - 11:05:05:990
38395,2859,"7,45%",CE,29/05/2020,30/05/2020 - 11:05:06:410
8722,154,"1,77%",DF,29/05/2020,30/05/2020 - 11:05:06:793
12903,560,"4,34%",ES,29/05/2020,30/05/2020 - 11:05:07:475
3521,119,"3,38%",GO,29/05/2020,30/05/2020 - 11:05:07:883
32620,932,"2,86%",MA,29/05/2020,30/05/2020 - 11:05:08:270
1909,47,"2,46%",MT,27/05/2020,30/05/2020 - 11:05:08:675
1356,18,"1,33%",MS,28/05/2020,30/05/2020 - 11:05:09:114
9232,257,"2,78%",MG,29/05/2020,30/05/2020 - 11:05:09:528
37296,2900,"7,78%",PA,29/05/2020,30/05/2020 - 11:05:09:907
12011,327,"2,72%",PB,29/05/2020,30/05/2020 - 11:05:10:302
32255,2669,"8,27%",PE,29/05/2020,30/05/2020 - 11:05:10:702
4745,157,"3,31%",PI,29/05/2020,30/05/2020 - 11:05:11:188
4300,178,"4,14%",PR,29/05/2020,30/05/2020 - 11:05:11:655
44886,4856,"10,82%",RJ,28/05/2020,30/05/2020 - 11:05:12:79
6463,268,"4,15%",RN,28/05/2020,30/05/2020 - 11:05:12:494
8843,216,"2,44%",RS,29/05/2020,30/05/2020 - 11:05:12:953
4502,145,"3,22%",RO,29/05/2020,30/05/2020 - 11:05:13:399
2564,86,"3,35%",RR,25/05/2020,30/05/2020 - 11:05:13:841
8000,131,"1,64%",SC,28/05/2020,30/05/2020 - 11:05:14:227
101556,7275,"7,16%",SP,29/05/2020,30/05/2020 - 11:05:14:706
5912,127,"2,15%",SE,27/05/2020,30/05/2020 - 11:05:15:104
2858,64,"2,24%",TO,26/05/2020,30/05/2020 - 11:05:15:482
5841,135,"2,31%",AC,29/05/2020,31/05/2020 - 11:05:14:923
9223,424,"4,60%",AL,30/05/2020,31/05/2020 - 11:05:15:404
9313,215,"2,31%",AP,30/05/2020,31/05/2020 - 11:05:15:884
38909,2011,"5,17%",AM,29/05/2020,31/05/2020 - 11:05:16:328
16917,609,"3,60%",BA,29/05/2020,31/05/2020 - 11:05:18:249
47822,2956,"6,18%",CE,30/05/2020,31/05/2020 - 11:05:18:652
8722,154,"1,77%",DF,29/05/2020,31/05/2020 - 11:05:19:17
12903,560,"4,34%",ES,29/05/2020,31/05/2020 - 11:05:19:475
3521,119,"3,38%",GO,29/05/2020,31/05/2020 - 11:05:19:895
32620,932,"2,86%",MA,29/05/2020,31/05/2020 - 11:05:20:443
2411,58,"2,41%",MT,30/05/2020,31/05/2020 - 11:05:20:954
1418,19,"1,34%",MS,29/05/2020,31/05/2020 - 11:05:21:322
9630,263,"2,73%",MG,30/05/2020,31/05/2020 - 11:05:21:757
37296,2900,"7,78%",PA,29/05/2020,31/05/2020 - 11:05:22:151
12862,346,"2,69%",PB,30/05/2020,31/05/2020 - 11:05:22:543
33427,2740,"8,20%",PE,30/05/2020,31/05/2020 - 11:05:22:922
4931,161,"3,27%",PI,30/05/2020,31/05/2020 - 11:05:23:301
4300,178,"4,14%",PR,29/05/2020,31/05/2020 - 11:05:23:704
47953,5079,"10,59%",RJ,29/05/2020,31/05/2020 - 11:05:24:112
6463,268,"4,15%",RN,28/05/2020,31/05/2020 - 11:05:24:713
9242,218,"2,36%",RS,30/05/2020,31/05/2020 - 11:05:25:137
4502,145,"3,22%",RO,29/05/2020,31/05/2020 - 11:05:25:541
2564,86,"3,35%",RR,25/05/2020,31/05/2020 - 11:05:25:932
8530,134,"1,57%",SC,29/05/2020,31/05/2020 - 11:05:26:477
107142,7532,"7,03%",SP,30/05/2020,31/05/2020 - 11:05:26:969
6156,135,"2,19%",SE,28/05/2020,31/05/2020 - 11:05:27:351
2858,64,"2,24%",TO,26/05/2020,31/05/2020 - 11:05:27:730
6072,142,"2,34%",AC,30/05/2020,01/06/2020 - 11:06:20:629
9223,424,"4,60%",AL,30/05/2020,01/06/2020 - 11:06:51:339
9313,215,"2,31%",AP,30/05/2020,01/06/2020 - 11:06:22:271
38909,2011,"5,17%",AM,29/05/2020,01/06/2020 - 11:06:39:488
17626,638,"3,62%",BA,30/05/2020,01/06/2020 - 11:06:39:966
47822,2956,"6,18%",CE,30/05/2020,01/06/2020 - 11:06:40:554
8722,154,"1,77%",DF,29/05/2020,01/06/2020 - 11:06:41:265
12903,560,"4,34%",ES,29/05/2020,01/06/2020 - 11:06:41:733
3609,124,"3,44%",GO,30/05/2020,01/06/2020 - 11:06:42:181
34639,955,"2,76%",MA,30/05/2020,01/06/2020 - 11:06:43:14
2411,58,"2,41%",MT,30/05/2020,01/06/2020 - 11:06:43:441
1418,19,"1,34%",MS,29/05/2020,01/06/2020 - 11:06:43:859
9630,263,"2,73%",MG,30/05/2020,01/06/2020 - 11:06:44:727
37859,2920,"7,71%",PA,30/05/2020,01/06/2020 - 11:06:45:191
12862,346,"2,69%",PB,30/05/2020,01/06/2020 - 11:06:45:668
33427,2740,"8,20%",PE,30/05/2020,01/06/2020 - 11:06:47:240
4931,161,"3,27%",PI,30/05/2020,01/06/2020 - 11:06:47:716
4300,178,"4,14%",PR,29/05/2020,01/06/2020 - 11:06:48:188
52420,5277,"10,07%",RJ,30/05/2020,01/06/2020 - 11:06:48:642
6463,268,"4,15%",RN,28/05/2020,01/06/2020 - 11:06:49:204
9242,218,"2,36%",RS,30/05/2020,01/06/2020 - 11:06:49:908
4743,151,"3,18%",RO,30/05/2020,01/06/2020 - 11:06:50:358
2564,86,"3,35%",RR,25/05/2020,01/06/2020 - 11:06:51:00
8780,136,"1,55%",SC,30/05/2020,01/06/2020 - 11:06:51:752
107142,7532,"7,03%",SP,30/05/2020,01/06/2020 - 11:06:52:496
6805,149,"2,19%",SE,30/05/2020,01/06/2020 - 11:06:53:240
3981,71,"1,78%",TO,30/05/2020,01/06/2020 - 11:06:53:994
6219,148,"2,38%",AC,31/05/2020,02/06/2020 - 11:06:24:673
10837,461,"4,25%",AL,01/06/2020,02/06/2020 - 11:06:55:206
9890,228,"2,31%",AP,01/06/2020,02/06/2020 - 11:06:25:638
41378,2052,"4,96%",AM,31/05/2020,02/06/2020 - 11:06:56:210
18898,701,"3,71%",BA,01/06/2020,02/06/2020 - 11:06:14:465
50504,3188,"6,31%",CE,01/06/2020,02/06/2020 - 11:06:14:968
9780,170,"1,74%",DF,31/05/2020,02/06/2020 - 11:06:15:359
13690,604,"4,41%",ES,31/05/2020,02/06/2020 - 11:06:15:692
4017,127,"3,16%",GO,01/06/2020,02/06/2020 - 11:06:16:06
35297,976,"2,77%",MA,31/05/2020,02/06/2020 - 11:06:16:420
2636,67,"2,54%",MT,01/06/2020,02/06/2020 - 11:06:16:748
1489,20,"1,34%",MS,30/05/2020,02/06/2020 - 11:06:17:61
10670,278,"2,61%",MG,01/06/2020,02/06/2020 - 11:06:17:457
40014,3019,"7,54%",PA,01/06/2020,02/06/2020 - 11:06:17:768
13162,360,"2,74%",PB,31/05/2020,02/06/2020 - 11:06:18:108
34900,2875,"8,24%",PE,01/06/2020,02/06/2020 - 11:06:18:463
5119,168,"3,28%",PI,31/05/2020,02/06/2020 - 11:06:18:803
4752,187,"3,94%",PR,31/05/2020,02/06/2020 - 11:06:19:112
53388,5344,"10,01%",RJ,31/05/2020,02/06/2020 - 11:06:19:446
6463,268,"4,15%",RN,28/05/2020,02/06/2020 - 11:06:19:956
9496,232,"2,44%",RS,01/06/2020,02/06/2020 - 11:06:20:287
4942,156,"3,16%",RO,31/05/2020,02/06/2020 - 11:06:20:586
3474,116,"3,34%",RR,30/05/2020,02/06/2020 - 11:06:20:946
9498,146,"1,54%",SC,01/06/2020,02/06/2020 - 11:06:21:336
111296,7667,"6,89%",SP,01/06/2020,02/06/2020 - 11:06:21:740
6999,158,"2,26%",SE,31/05/2020,02/06/2020 - 11:06:22:58
4345,76,"1,75%",TO,01/06/2020,02/06/2020 - 11:06:22:412
6326,161,"2,55%",AC,01/06/2020,03/06/2020 - 11:06:14:993
11559,482,"4,17%",AL,02/06/2020,03/06/2020 - 11:06:15:786
10511,237,"2,25%",AP,02/06/2020,03/06/2020 - 11:06:16:152
41378,2052,"4,96%",AM,31/05/2020,03/06/2020 - 11:06:16:529
18898,701,"3,71%",BA,01/06/2020,03/06/2020 - 11:06:16:944
50504,3188,"6,31%",CE,01/06/2020,03/06/2020 - 11:06:17:435
10510,173,"1,65%",DF,01/06/2020,03/06/2020 - 11:06:17:864
13690,604,"4,41%",ES,31/05/2020,03/06/2020 - 11:06:18:216
4017,127,"3,16%",GO,01/06/2020,03/06/2020 - 11:06:18:628
36625,997,"2,72%",MA,01/06/2020,03/06/2020 - 11:06:19:38
2636,67,"2,54%",MT,01/06/2020,03/06/2020 - 11:06:19:434
1646,20,"1,22%",MS,01/06/2020,03/06/2020 - 11:06:19:783
10939,289,"2,64%",MG,02/06/2020,03/06/2020 - 11:06:20:244
40014,3019,"7,54%",PA,01/06/2020,03/06/2020 - 11:06:20:755
13695,370,"2,70%",PB,01/06/2020,03/06/2020 - 11:06:21:145
35508,2933,"8,26%",PE,02/06/2020,03/06/2020 - 11:06:21:521
5828,192,"3,29%",PI,02/06/2020,03/06/2020 - 11:06:21:942
4900,195,"3,98%",PR,01/06/2020,03/06/2020 - 11:06:22:407
56732,5686,"10,02%",RJ,02/06/2020,03/06/2020 - 11:06:22:799
8233,341,"4,14%",RN,01/06/2020,03/06/2020 - 11:06:23:174
9919,245,"2,47%",RS,02/06/2020,03/06/2020 - 11:06:23:585
4942,156,"3,16%",RO,31/05/2020,03/06/2020 - 11:06:23:949
3474,116,"3,34%",RR,30/05/2020,03/06/2020 - 11:06:24:303
9660,148,"1,53%",SC,02/06/2020,03/06/2020 - 11:06:24:697
111296,7667,"6,89%",SP,01/06/2020,03/06/2020 - 11:06:25:166
7233,166,"2,30%",SE,01/06/2020,03/06/2020 - 11:06:25:516
4345,76,"1,75%",TO,01/06/2020,03/06/2020 - 11:06:25:890
6465,165,"2,55%",AC,02/06/2020,04/06/2020 - 11:06:14:973
12407,506,"4,08%",AL,03/06/2020,04/06/2020 - 11:06:15:546
10511,237,"2,25%",AP,02/06/2020,04/06/2020 - 11:06:16:32
43195,2102,"4,87%",AM,02/06/2020,04/06/2020 - 11:06:16:699
22451,762,"3,39%",BA,03/06/2020,04/06/2020 - 11:06:17:180
56056,3605,"6,43%",CE,03/06/2020,04/06/2020 - 11:06:17:655
12020,191,"1,59%",DF,03/06/2020,04/06/2020 - 11:06:18:110
16121,698,"4,33%",ES,03/06/2020,04/06/2020 - 11:06:18:576
4701,159,"3,38%",GO,03/06/2020,04/06/2020 - 11:06:19:28
40629,1062,"2,61%",MA,03/06/2020,04/06/2020 - 11:06:19:531
3029,79,"2,61%",MT,03/06/2020,04/06/2020 - 11:06:20:91
1802,20,"1,11%",MS,02/06/2020,04/06/2020 - 11:06:20:519
12010,306,"2,55%",MG,03/06/2020,04/06/2020 - 11:06:21:30
43652,3144,"7,20%",PA,02/06/2020,04/06/2020 - 11:06:21:438
16018,414,"2,58%",PB,03/06/2020,04/06/2020 - 11:06:21:873
36463,3012,"8,26%",PE,03/06/2020,04/06/2020 - 11:06:22:296
6064,202,"3,33%",PI,03/06/2020,04/06/2020 - 11:06:22:930
5235,204,"3,90%",PR,02/06/2020,04/06/2020 - 11:06:23:415
59240,6010,"10,15%",RJ,03/06/2020,04/06/2020 - 11:06:23:839
9149,367,"4,01%",RN,02/06/2020,04/06/2020 - 11:06:24:299
10398,258,"2,48%",RS,03/06/2020,04/06/2020 - 11:06:24:788
5477,172,"3,14%",RO,02/06/2020,04/06/2020 - 11:06:25:301
4143,124,"2,99%",RR,02/06/2020,04/06/2020 - 11:06:25:689
9660,148,"1,53%",SC,02/06/2020,04/06/2020 - 11:06:26:138
123483,8276,"6,70%",SP,03/06/2020,04/06/2020 - 11:06:26:658
7555,172,"2,28%",SE,02/06/2020,04/06/2020 - 11:06:27:174
4345,76,"1,75%",TO,01/06/2020,04/06/2020 - 11:06:27:585
6679,171,"2,56%",AC,03/06/2020,05/06/2020 - 11:06:15:131
12407,506,"4,08%",AL,03/06/2020,05/06/2020 - 11:06:15:658
10511,237,"2,25%",AP,02/06/2020,05/06/2020 - 11:06:16:46
43195,2102,"4,87%",AM,02/06/2020,05/06/2020 - 11:06:16:845
22451,762,"3,39%",BA,03/06/2020,05/06/2020 - 11:06:17:615
56056,3605,"6,43%",CE,03/06/2020,05/06/2020 - 11:06:18:350
12020,191,"1,59%",DF,03/06/2020,05/06/2020 - 11:06:18:768
16121,698,"4,33%",ES,03/06/2020,05/06/2020 - 11:06:19:199
5102,164,"3,21%",GO,04/06/2020,05/06/2020 - 11:06:19:845
40629,1062,"2,61%",MA,03/06/2020,05/06/2020 - 11:06:20:364
3029,79,"2,61%",MT,03/06/2020,05/06/2020 - 11:06:20:800
1802,20,"1,11%",MS,02/06/2020,05/06/2020 - 11:06:21:252
12010,306,"2,55%",MG,03/06/2020,05/06/2020 - 11:06:21:822
46473,3245,"6,98%",PA,03/06/2020,05/06/2020 - 11:06:22:260
16018,414,"2,58%",PB,03/06/2020,05/06/2020 - 11:06:22:879
37507,3134,"8,36%",PE,04/06/2020,05/06/2020 - 11:06:23:602
6717,217,"3,23%",PI,04/06/2020,05/06/2020 - 11:06:24:57
5567,210,"3,77%",PR,03/06/2020,05/06/2020 - 11:06:24:547
59240,6010,"10,15%",RJ,03/06/2020,05/06/2020 - 11:06:24:991
9149,367,"4,01%",RN,02/06/2020,05/06/2020 - 11:06:25:430
11010,265,"2,41%",RS,04/06/2020,05/06/2020 - 11:06:26:30
5714,180,"3,15%",RO,03/06/2020,05/06/2020 - 11:06:26:502
4143,124,"2,99%",RR,02/06/2020,05/06/2020 - 11:06:26:932
9660,148,"1,53%",SC,02/06/2020,05/06/2020 - 11:06:27:388
129200,8561,"6,63%",SP,04/06/2020,05/06/2020 - 11:06:28:225
7989,180,"2,25%",SE,03/06/2020,05/06/2020 - 11:06:28:674
4698,82,"1,75%",TO,03/06/2020,05/06/2020 - 11:06:29:101
6679,171,"2,56%",AC,03/06/2020,06/06/2020 - 11:06:14:883
13939,557,"4,00%",AL,05/06/2020,06/06/2020 - 11:06:15:598
11551,254,"2,20%",AP,04/06/2020,06/06/2020 - 11:06:16:12
46473,2158,"4,64%",AM,04/06/2020,06/06/2020 - 11:06:16:455
26419,819,"3,10%",BA,05/06/2020,06/06/2020 - 11:06:16:870
62176,3907,"6,28%",CE,05/06/2020,06/06/2020 - 11:06:17:235
12923,196,"1,52%",DF,04/06/2020,06/06/2020 - 11:06:17:697
16894,737,"4,36%",ES,04/06/2020,06/06/2020 - 11:06:18:107
5605,167,"2,98%",GO,05/06/2020,06/06/2020 - 11:06:18:507
45470,1132,"2,49%",MA,05/06/2020,06/06/2020 - 11:06:18:945
3593,91,"2,53%",MT,05/06/2020,06/06/2020 - 11:06:19:344
1997,21,"1,05%",MS,04/06/2020,06/06/2020 - 11:06:19:714
13995,344,"2,46%",MG,05/06/2020,06/06/2020 - 11:06:20:167
46473,3245,"6,98%",PA,03/06/2020,06/06/2020 - 11:06:20:526
18579,451,"2,43%",PB,05/06/2020,06/06/2020 - 11:06:20:918
38511,3205,"8,32%",PE,05/06/2020,06/06/2020 - 11:06:21:278
7105,224,"3,15%",PI,05/06/2020,06/06/2020 - 11:06:21:667
5895,220,"3,73%",PR,04/06/2020,06/06/2020 - 11:06:22:62
63066,6473,"10,26%",RJ,05/06/2020,06/06/2020 - 11:06:22:498
9282,378,"4,07%",RN,03/06/2020,06/06/2020 - 11:06:22:871
11583,276,"2,38%",RS,05/06/2020,06/06/2020 - 11:06:23:296
6459,194,"3,00%",RO,04/06/2020,06/06/2020 - 11:06:23:658
5238,139,"2,65%",RR,05/06/2020,06/06/2020 - 11:06:24:35
10532,156,"1,48%",SC,04/06/2020,06/06/2020 - 11:06:24:480
134565,8842,"6,57%",SP,05/06/2020,06/06/2020 - 11:06:24:944
8200,186,"2,27%",SE,04/06/2020,06/06/2020 - 11:06:25:315
5182,89,"1,72%",TO,05/06/2020,06/06/2020 - 11:06:25:821
7525,201,"2,67%",AC,06/06/2020,07/06/2020 - 11:06:19:215
14818,582,"3,93%",AL,06/06/2020,07/06/2020 - 11:06:33:796
12773,269,"2,11%",AP,06/06/2020,07/06/2020 - 11:06:34:241
48785,2232,"4,58%",AM,06/06/2020,07/06/2020 - 11:06:34:567
27396,846,"3,09%",BA,06/06/2020,07/06/2020 - 11:06:34:922
63575,3965,"6,24%",CE,06/06/2020,07/06/2020 - 11:06:35:294
15850,208,"1,31%",DF,06/06/2020,07/06/2020 - 11:06:35:688
18950,806,"4,25%",ES,06/06/2020,07/06/2020 - 11:06:35:988
5770,172,"2,98%",GO,06/06/2020,07/06/2020 - 11:06:36:486
47593,1170,"2,46%",MA,06/06/2020,07/06/2020 - 11:06:36:922
3788,101,"2,67%",MT,06/06/2020,07/06/2020 - 11:06:37:202
2132,21,"0,98%",MS,06/06/2020,07/06/2020 - 11:06:37:631
14939,368,"2,46%",MG,06/06/2020,07/06/2020 - 11:06:38:93
53860,3665,"6,80%",PA,06/06/2020,07/06/2020 - 11:06:38:482
19787,467,"2,36%",PB,06/06/2020,07/06/2020 - 11:06:38:819
39361,3270,"8,31%",PE,06/06/2020,07/06/2020 - 11:06:39:201
7478,239,"3,20%",PI,06/06/2020,07/06/2020 - 11:06:39:653
6604,232,"3,51%",PR,06/06/2020,07/06/2020 - 11:06:40:09
64533,6639,"10,29%",RJ,06/06/2020,07/06/2020 - 11:06:40:323
9449,410,"4,34%",RN,05/06/2020,07/06/2020 - 11:06:40:634
12037,283,"2,35%",RS,06/06/2020,07/06/2020 - 11:06:40:989
7720,228,"2,95%",RO,06/06/2020,07/06/2020 - 11:06:41:402
5238,139,"2,65%",RR,05/06/2020,07/06/2020 - 11:06:41:804
11285,166,"1,47%",SC,06/06/2020,07/06/2020 - 11:06:42:117
140549,9058,"6,44%",SP,06/06/2020,07/06/2020 - 11:06:42:883
8972,208,"2,32%",SE,06/06/2020,07/06/2020 - 11:06:43:215
5505,96,"1,74%",TO,05/06/2020,07/06/2020 - 11:06:43:607
7983,207,"2,59%",AC,07/06/2020,08/06/2020 - 11:06:15:140
15706,601,"3,83%",AL,07/06/2020,08/06/2020 - 11:06:15:776
13045,272,"2,09%",AP,07/06/2020,08/06/2020 - 11:06:16:601
49269,2250,"4,57%",AM,07/06/2020,08/06/2020 - 11:06:17:212
28250,879,"3,11%",BA,07/06/2020,08/06/2020 - 11:06:17:954
64271,3982,"6,20%",CE,07/06/2020,08/06/2020 - 11:06:18:652
16623,214,"1,29%",DF,07/06/2020,08/06/2020 - 11:06:19:255
19619,832,"4,24%",ES,07/06/2020,08/06/2020 - 11:06:19:844
5857,173,"2,95%",GO,07/06/2020,08/06/2020 - 11:06:20:430
48537,1208,"2,49%",MA,07/06/2020,08/06/2020 - 11:06:21:260
4033,113,"2,80%",MT,07/06/2020,08/06/2020 - 11:06:21:847
2253,21,"0,93%",MS,06/06/2020,08/06/2020 - 11:06:22:620
15703,376,"2,39%",MG,07/06/2020,08/06/2020 - 11:06:23:455
